Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Ricky Simon,377 (75%),50 (10%),74 (15%),6 (30%),10 (50%),4 (20%),Active,"Pendleton, United States",,Wrestling,31,66.00,136.00,"Aug. 8, 2017",69.00,38.00,Bantamweight Division,man
Douglas Silva de Andrade,495 (92%),33 (6%),12 (2%),20 (69%),7 (24%),2 (7%),Active,"Castanhal , Brazil",Academia Corinthians - Sao Paulo,Muay Thai,37,67.00,139.50,"Feb. 15, 2014",68.50,37.50,Bantamweight Division,man
Natalia Silva,254 (94%),2 (1%),13 (5%),5 (29%),5 (29%),7 (41%),Active,"Timóteo, Brazil",,Taekwondo,27,64.00,125.50,"Jun. 18, 2022",65.00,36.00,Women's Flyweight Division,women
Mayra Bueno Silva,287 (68%),111 (26%),25 (6%),1 (10%),2 (20%),7 (70%),Active,"Uberlândia, Brazil",,Striker,32,66.00,135.00,"Sep. 23, 2018",66.50,39.00,Women's Bantamweight Division,women
Jean Silva,103 (92%),9 (8%),0 (0%),9 (75%),1 (8%),2 (17%),Active,"Foz do Iguaçu, Brazil",,Striker,27,67.00,145.50,"Jan. 13, 2024",69.00,36.50,Featherweight Division,man
Joaquim Silva,290 (79%),48 (13%),27 (7%),7 (58%),2 (17%),3 (25%),Active,"Anápolis, Brazil",American Top Team,Jiu-Jitsu,34,68.00,156.00,"Jul. 9, 2016",69.00,39.00,Lightweight Division,man
Jhonata Silva,36 (97%),1 (3%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,,"Mar. 13, 2024",,,Flyweight Division,man
Bruno Silva,214 (70%),32 (11%),58 (19%),20 (87%),3 (13%),0 (0%),Active,Brazil,Evolucao Thai - Curitiba,Striker,33,72.00,203.00,"Jun. 19, 2021",74.00,42.00,Middleweight Division,man
Karine Silva,41 (66%),14 (23%),7 (11%),9 (53%),0 (0%),8 (47%),Active,"Dourados, Brazil","Gile Ribeiro - Curitiba, Brazil",Brazilian Jiu-Jitsu,30,65.00,125.00,"Jun. 4, 2022",67.00,37.00,Women's Flyweight Division,women
Danny Silva,153 (75%),47 (23%),4 (2%),5 (63%),3 (38%),0 (0%),Active,"Santa Ana, United States",,Boxing,27,71.00,146.00,"Mar. 16, 2024",70.00,39.00,Featherweight Division,man
Jacob Silva,73 (88%),6 (7%),4 (5%),0 (0 %),0 (0 %),0 (0 %),Active,"Houston, United States",,,35,,125.00,"Mar. 13, 2024",,,Flyweight Division,man
Jansey Silva,1 (50%),0 (0%),1 (50%),0 (0 %),0 (0 %),0 (0 %),Active,,,,28,,185.50,"Mar. 13, 2024",,,Middleweight Division,man
Erik Silva,14 (42%),7 (21%),12 (36%),3 (33%),2 (22%),4 (44%),Active,"Caracas, Venezuela",,,36,69.00,146.00,"Dec. 10, 2022",71.00,40.50,Featherweight Division,man
Maria Silva,48 (53%),15 (17%),27 (30%),0 (0 %),0 (0 %),0 (0 %),Active,"Santana do Cariri, Brazil",,,27,63.00,115.00,"Mar. 13, 2024",65.00,36.00,Women's Strawweight Division,women
Janaina Silva,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,31,,,"Mar. 13, 2024",,,Women's Strawweight Division,women
Bruno Silva,135 (76%),18 (10%),25 (14%),5 (38%),4 (31%),4 (31%),Active,"Piracicaba, Brazil",,Grappler,33,64.00,125.50,"Sep. 7, 2019",65.00,35.00,Flyweight Division,man
Serhiy Sidey,83 (92%),6 (7%),1 (1%),7 (70%),2 (20%),1 (10%),Active,"Chernivtsi Oblast, Ukraine",,Freestyle,27,71.00,135.00,"Jan. 20, 2024",72.00,40.50,Bantamweight Division,man
Ronal Siahaan,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,Indonesia,,,27,,126.00,"Mar. 13, 2024",,,Flyweight Division,man
Jack Shore,233 (73%),32 (10%),55 (17%),4 (24%),4 (24%),9 (53%),Active,"Abergavenny, Wales, United Kingdom",,MMA,28,68.00,146.00,"Sep. 28, 2019",71.00,40.00,Featherweight Division,man
Henrique Shiguemoto,3 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,33,,185.50,"Mar. 13, 2024",,,Middleweight Division,man
Valentina Shevchenko,662 (70%),87 (9%),193 (20%),8 (14%),44 (75%),7 (12%),Active,"Bishkek, Kyrgyzstan","Tiger Muay Thai - Phuket, Thailand",Muay Thai,35,65.00,124.50,"Dec. 19, 2015",67.00,38.00,Women's Flyweight Division,women
Antonina Shevchenko,242 (60%),98 (24%),61 (15%),3 (11%),24 (86%),1 (4%),Active,Kyrgyzstan,,Muay Thai,38,68.00,124.50,"Nov. 30, 2018",67.00,41.00,Women's Flyweight Division,women
Edmen Shahbazyan,160 (61%),60 (23%),43 (16%),10 (83%),1 (8%),1 (8%),Active,"Los Angeles, United States","Xtreme Couture - Las Vegas, NV",MMA,25,74.00,185.50,"Nov. 30, 2018",75.00,43.00,Middleweight Division,man
Matthew Semelsberger,357 (80%),36 (8%),54 (12%),6 (60%),3 (30%),1 (10%),Active,"Rockville, United States",,Freestyle,31,73.00,170.50,"Aug. 22, 2020",75.00,41.00,Welterweight Division,man
Matt Schnell,364 (85%),37 (9%),26 (6%),2 (13%),5 (31%),9 (56%),Active,United States,,Boxing,34,68.00,126.00,"Dec. 4, 2016",70.00,38.00,Flyweight Division,man
Brandon Sayles,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,United States,,,42,,,"Mar. 13, 2024",,,Heavyweight Division,man
Keisuke Sasu,53 (80%),12 (18%),1 (2%),0 (0 %),0 (0 %),0 (0 %),Active,Japan,,,28,,146.00,"Jun. 9, 2022",,,Featherweight Division,man
Jeka Saragih,0 (0 %),0 (0 %),0 (0 %),9 (64%),1 (7%),4 (29%),Active,Indonesia,,MMA,28,68.00,163.00,"Feb. 4, 2023",69.00,38.00,Featherweight Division,man
Yana Santos,247 (55%),170 (38%),35 (8%),7 (50%),6 (43%),1 (7%),Active,Russia,American Top Team,MMA,34,66.00,144.50,"Mar. 3, 2018",68.50,40.00,Women's Featherweight Division,women
Luana Santos,103 (89%),13 (11%),0 (0%),1 (17%),2 (33%),3 (50%),Active,Brazil,,Judo,23,66.00,149.00,"Aug. 12, 2023",68.00,,Women's Bantamweight Division,women
Gabriel Santos,91 (84%),15 (14%),2 (2%),3 (30%),3 (30%),4 (40%),Active,"State of Ceará, Brazil",,MMA,26,69.00,145.00,"Mar. 18, 2023",70.00,41.00,Featherweight Division,man
Marilia Santos,48 (73%),12 (18%),6 (9%),0 (0 %),0 (0 %),0 (0 %),Active,"State of Bahia, Brazil",,,30,,124.50,"Mar. 13, 2024",,,Women's Flyweight Division,women
Daniel Santos,109 (65%),23 (14%),36 (21%),6 (55%),3 (27%),2 (18%),Active,"Uberaba, Brazil",,Muay Thai,28,67.00,135.50,"Apr. 9, 2022",67.00,37.00,Bantamweight Division,man
Edivan Santos,11 (65%),6 (35%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Sao Luiz, Brazil",,,31,76.00,234.00,"Mar. 13, 2024",78.00,45.00,Heavyweight Division,man
Taila Santos,301 (74%),48 (12%),57 (14%),10 (53%),6 (32%),3 (16%),Active,"Jaraguá do Sul, Brazil",,Muay Thai,30,66.00,133.20,"Feb. 2, 2019",68.00,37.50,Women's Flyweight Division,women
Shaheen Santana,8 (89%),1 (11%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Brooklyn, United States",,,32,,158.00,"Mar. 12, 2024",,,Lightweight Division,man
Cory Sandhagen,774 (82%),34 (4%),131 (14%),7 (41%),7 (41%),3 (18%),Active,"Aurora, United States",,MMA,31,71.00,139.50,"Jan. 28, 2018",70.00,40.00,Bantamweight Division,man
Vinicius Salvador,192 (90%),14 (7%),8 (4%),13 (93%),0 (0%),1 (7%),Active,"Varginha, Brazil",,Jiu-Jitsu,27,67.00,128.50,"Dec. 10, 2022",70.50,38.50,Flyweight Division,man
Dylan Salvador,12 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,30,,,"Mar. 13, 2024",,,Lightweight Division,man
Quillan Salkilld,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,23,,170.90,"Mar. 13, 2024",,,Lightweight Division,man
Muslim Salikhov,289 (81%),27 (8%),40 (11%),13 (68%),4 (21%),2 (11%),Active,Russia,Team Salikhov,,39,71.00,182.70,"Nov. 25, 2017",70.00,41.00,Welterweight Division,man
Luis Saldana,325 (89%),14 (4%),26 (7%),9 (56%),2 (13%),5 (31%),Not Fighting,"Des Moines, United States",,Striker,33,71.00,145.50,"Apr. 10, 2021",73.00,40.00,Featherweight Division,man
Ovince Saint Preux,576 (68%),78 (9%),194 (23%),12 (44%),7 (26%),8 (30%),Active,"Immokalee, United States","Knoxville Martial Arts Academy- Knoxville, TN",MMA,40,75.00,206.00,"Aug. 19, 2012",80.00,45.00,Light Heavyweight Division,man
Benoît Saint Denis,166 (58%),50 (17%),71 (25%),4 (31%),0 (0%),9 (69%),Active,"Nîmes, France",Venum Training Camp Paris,MMA,28,71.00,155.00,"Oct. 30, 2021",73.00,40.00,Lightweight Division,man
Frankie Saenz,287 (56%),174 (34%),48 (9%),3 (23%),8 (62%),2 (15%),Active,"Phoenix, United States","Fight Ready - Scottsdale, AZ",,42,66.00,136.00,"Aug. 16, 2014",66.00,38.00,Bantamweight Division,man
Nazim Sadykhov,152 (70%),26 (12%),38 (18%),6 (67%),1 (11%),2 (22%),Active,Russia,Team Serra/Longo,,29,70.00,169.00,"Feb. 18, 2023",69.00,41.00,Lightweight Division,man
Pat Sabatini,44 (39%),10 (9%),60 (53%),2 (10%),8 (38%),11 (52%),Active,"Bristol, United States",,Brazilian Jiu-Jitsu,33,68.00,155.00,"Feb. 20, 2021",70.00,38.00,Featherweight Division,man
Danny Sabatello,2 (6%),0 (0%),29 (94%),0 (0 %),0 (0 %),0 (0 %),Active,"Chicago, United States",,,30,,135.50,"Mar. 12, 2024",,,Bantamweight Division,man
Cameron Saaiman,227 (71%),22 (7%),69 (22%),6 (75%),1 (13%),1 (13%),Active,"Pretoria, South Africa",,MMA,22,68.00,147.00,"Dec. 10, 2022",67.00,39.00,Bantamweight Division,man
Nursulton Ruziboev,3 (50%),0 (0%),3 (50%),12 (35%),2 (6%),20 (59%),Active,"Andijan region, Uzbekistan",,,29,77.00,183.50,"Jul. 1, 2023",76.00,44.00,Middleweight Division,man
Montserrat Ruiz,28 (97%),0 (0%),1 (3%),3 (30%),5 (50%),2 (20%),Active,"Leon, Mexico",Kings MMA El Paso,MMA,30,60.00,118.90,"Mar. 20, 2021",61.00,34.00,Women's Strawweight Division,women
Mauricio Ruffy,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Jairzinho Rozenstruik,325 (84%),34 (9%),26 (7%),13 (93%),1 (7%),0 (0%),Active,"Paramaribo, Suriname",American Top Team,MMA,35,74.00,257.00,"Feb. 2, 2019",78.00,41.00,Heavyweight Division,man
Brandon Royval,355 (86%),15 (4%),42 (10%),4 (25%),3 (19%),9 (56%),Active,"Denver, United States",Factory X,Brawler,31,69.00,126.00,"May. 30, 2020",68.00,38.50,Flyweight Division,man
Cam Rowston,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Sydney, Australia",,,28,,,"Mar. 13, 2024",,,Middleweight Division,man
Phil Rowe,229 (83%),25 (9%),23 (8%),6 (60%),0 (0%),4 (40%),Active,"Brooklyn, United States",Fusion Xcel,Boxer,32,75.00,185.40,"Feb. 13, 2021",80.50,44.00,Welterweight Division,man
Khalil Rountree Jr.,393 (87%),31 (7%),27 (6%),10 (77%),3 (23%),0 (0%),Active,"Los Angeles, United States","Syndicate MMA - Las Vegas, NV",MMA,34,73.00,204.00,"Jul. 9, 2016",76.50,44.00,Light Heavyweight Division,man
Shannon Ross,105 (90%),12 (10%),0 (0%),7 (54%),5 (38%),1 (8%),Active,"Sydney, Australia",,Freestyle,34,66.00,138.00,"Feb. 11, 2023",74.00,41.00,Flyweight Division,man
Raul Rosas Jr.,20 (47%),1 (2%),22 (51%),2 (25%),1 (13%),5 (63%),Active,"Clovis, United States",,Freestyle,19,69.00,136.00,"Dec. 10, 2022",67.00,40.00,Bantamweight Division,man
Karol Rosa,684 (80%),88 (10%),84 (10%),4 (25%),10 (63%),2 (13%),Active,"Vila Velha, Brazil",,Muay Thai,29,65.00,135.50,"Aug. 31, 2019",67.50,36.00,Women's Bantamweight Division,women
Charles Rosa,492 (89%),23 (4%),38 (7%),3 (21%),3 (21%),8 (57%),Active,"Peabody, United States",Sanford MMA,Freestyle,36,69.00,145.00,"Oct. 4, 2014",69.00,39.00,Featherweight Division,man
Rong Zhu,311 (79%),21 (5%),60 (15%),13 (72%),1 (6%),4 (22%),Active,"Sichuan, China",American Top Team,Striker,23,69.00,174.70,"Apr. 24, 2021",71.00,39.00,Lightweight Division,man
Juancamilo Ronderos,9 (75%),3 (25%),0 (0%),0 (0%),2 (50%),2 (50%),Active,"Bogota, Colombia",,MMA,28,63.00,125.00,"May. 22, 2021",64.50,34.00,Flyweight Division,man
Anthony Romero,86 (98%),1 (1%),1 (1%),0 (0 %),0 (0 %),0 (0 %),Active,"Welland, Canada",,,26,,156.00,"Mar. 13, 2024",,,Lightweight Division,man
Kaleio Romero,23 (59%),12 (31%),4 (10%),0 (0 %),0 (0 %),0 (0 %),Active,"Sacramento, United States",,,27,70.00,146.00,"Mar. 13, 2024",69.00,38.00,Featherweight Division,man
Alexandr Romanov,118 (42%),23 (8%),141 (50%),6 (35%),2 (12%),9 (53%),Active,"Comrat City, Moldova",,Wrestler,33,74.00,264.00,"Apr. 25, 2020",75.00,43.00,Heavyweight Division,man
Pete Rodriguez,38 (81%),6 (13%),3 (6%),5 (100%),0 (0%),0 (0%),Active,"Tucson, United States",The MMA Lab,Jiu-Jitsu,27,69.00,182.00,"Jan. 22, 2022",71.00,39.00,Welterweight Division,man
Yair Rodriguez,726 (79%),62 (7%),126 (14%),6 (38%),6 (38%),4 (25%),Active,"Hidalgo Del Parral, Mexico",Izzystyle wrestling & VFS Chicago,Freestyle,30,71.00,155.70,"Nov. 15, 2014",71.00,41.50,Featherweight Division,man
Ronaldo Rodriguez,26 (52%),5 (10%),19 (38%),7 (44%),6 (38%),3 (19%),Active,"Chiapas, Mexico",,Striker,24,66.00,126.00,"Feb. 24, 2024",65.50,37.50,Flyweight Division,man
Christian Rodriguez,169 (75%),26 (12%),30 (13%),3 (33%),2 (22%),4 (44%),Active,"Chicago, United States",Roufusport,Freestyle,26,67.00,140.00,"Feb. 19, 2022",71.50,36.50,Featherweight Division,man
Marina Rodriguez,557 (64%),233 (27%),81 (9%),6 (38%),9 (56%),1 (6%),Active,"State of Rio Grande do Sul, Brazil",,Muay Thai,36,66.00,116.00,"Sep. 23, 2018",65.00,38.50,Women's Strawweight Division,women
Piera Rodriguez,118 (63%),58 (31%),12 (6%),5 (56%),4 (44%),0 (0%),Active,"Maracaibo, Venezuela",,Striker,30,63.00,116.00,"Apr. 9, 2022",63.50,36.00,Women's Strawweight Division,women
Daniel Rodriguez,842 (95%),12 (1%),31 (4%),8 (16%),39 (76%),4 (8%),Active,"Los Angeles, United States",10th Planet Jiu-Jitsu,Freestyle,36,73.00,170.00,"Feb. 15, 2020",74.00,41.00,Welterweight Division,man
Gregory Rodrigues,335 (82%),41 (10%),32 (8%),10 (67%),2 (13%),3 (20%),Active,"Rio de Janeiro , Brazil",Sanford MMA,Grappler,31,75.00,186.00,"Jun. 5, 2021",75.00,43.00,Middleweight Division,man
Kleydson Rodrigues,156 (81%),30 (16%),7 (4%),5 (63%),1 (13%),2 (25%),Active,"Almeirim, Brazil",,MMA,27,65.00,149.00,"May. 7, 2022",67.00,37.00,Bantamweight Division,man
Vagner Rocha,74 (87%),1 (1%),10 (12%),0 (0 %),0 (0 %),0 (0 %),Active,United States,,,41,70.00,155.50,"Jun. 12, 2011",73.00,,Lightweight Division,man
Gillian Robertson,227 (56%),15 (4%),161 (40%),2 (15%),2 (15%),9 (69%),Active,"Niagara Falls, Canada",,MMA,28,65.00,115.80,"Dec. 1, 2017",63.00,35.50,Women's Strawweight Division,women
Roosevelt Roberts,187 (71%),15 (6%),62 (23%),4 (33%),3 (25%),5 (42%),Active,"Hollywood, United States",,Jiu-Jitsu,29,74.00,173.00,"Nov. 30, 2018",73.00,41.00,Lightweight Division,man
Keifer Roberts,,,,,,,Active,,,,30,,,"Mar. 13, 2024",,,,man
Danny Roberts,262 (65%),82 (20%),61 (15%),8 (44%),5 (28%),5 (28%),Active,"London, United Kingdom","Blackzilians - Boca Raton, FL",Striker,36,73.00,171.00,"Dec. 10, 2015",74.00,42.00,Welterweight Division,man
Robbie Ring,17 (89%),2 (11%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,United States,,,23,,,"Mar. 13, 2024",,,Featherweight Division,man
Brad Riddell,297 (83%),16 (4%),47 (13%),5 (50%),5 (50%),0 (0%),Active,"Christchurch, New Zealand",City Kickboxing,Striker,31,67.00,155.60,"Oct. 5, 2049",71.00,38.00,Lightweight Division,man
Tabatha Ricci,254 (77%),15 (5%),63 (19%),1 (11%),5 (56%),3 (33%),Active,"State of São Paulo, Brazil",,Judo,29,61.00,115.40,"Jun. 5, 2021",61.00,36.00,Women's Strawweight Division,women
Esteban Ribovics,161 (83%),11 (6%),22 (11%),6 (55%),0 (0%),5 (45%),Active,"Tartagal, Argentina",,Striker,27,70.00,173.00,"Mar. 4, 2023",69.00,39.00,Lightweight Division,man
Claudio Ribeiro,64 (67%),6 (6%),26 (27%),11 (100%),0 (0%),0 (0%),Not Fighting,"Jundiaí, Brazil",,Boxing,31,73.00,185.50,"Jan. 14, 2023",77.00,42.00,Middleweight Division,man
Brendson Ribeiro,42 (91%),0 (0%),4 (9%),9 (60%),1 (7%),5 (33%),Active,Brazil,,Striker,27,75.00,205.50,"Feb. 17, 2024",81.00,40.50,Light Heavyweight Division,man
Amanda Ribas,470 (85%),31 (6%),55 (10%),4 (31%),5 (38%),4 (31%),Active,"Varginha, Brazil",,Judo,30,64.00,115.50,"Jun. 29, 2019",66.00,37.00,Women's Flyweight Division,women
Alex Reyes,15 (75%),5 (25%),0 (0%),9 (69%),0 (0%),4 (31%),Active,"Hollywood, United States",,,36,71.00,168.00,"Sep. 16, 2017",73.00,41.00,Lightweight Division,man
Dominick Reyes,331 (83%),41 (10%),28 (7%),7 (58%),3 (25%),2 (17%),Active,"Apple Valley, United States","Teixeira MMA & Fitness-Bethel, CT",,34,76.00,205.40,"Jun. 26, 2017",77.00,43.50,Light Heavyweight Division,man
Kyle Reyes,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,Featherweight Division,man
Solomon Renfro,58 (74%),16 (21%),4 (5%),0 (0 %),0 (0 %),0 (0 %),Active,"Cleveland, United States",,,26,69.50,170.00,"Mar. 13, 2024",72.50,40.00,Welterweight Division,man
Paulo Renato Jr.,83 (98%),2 (2%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,,221.00,"Mar. 13, 2024",,,Light Heavyweight Division,man
Steve Regman,10 (83%),1 (8%),1 (8%),0 (0 %),0 (0 %),0 (0 %),Active,"Irvington, United States",,MMA,31,71.00,184.50,"Mar. 13, 2024",78.00,,Middleweight Division,man
Zachary Reese,9 (75%),1 (8%),2 (17%),4 (67%),0 (0%),2 (33%),Active,"Houston, United States",,,29,76.00,185.00,"Dec. 2, 2023",77.00,45.00,Middleweight Division,man
Elise Reed,159 (78%),32 (16%),14 (7%),2 (33%),4 (67%),0 (0%),Active,"Sacramento, United States",,Striker,30,63.00,120.00,"Jul. 24, 2021",63.00,36.00,Women's Strawweight Division,women
Greg Rebello,24 (96%),1 (4%),0 (0%),15 (63%),7 (29%),2 (8%),Active,"Wareham, United States",,,41,72.00,248.00,"Jul. 11, 2017",73.00,40.00,Heavyweight Division,man
Mateusz Rębecki,120 (78%),4 (3%),29 (19%),9 (47%),3 (16%),7 (37%),Active,"Gryfice, Poland",,Brazilian Jiu-Jitsu,31,67.00,171.80,"Jan. 14, 2023",66.00,36.50,Lightweight Division,man
Ricardo Ramos,278 (85%),26 (8%),24 (7%),4 (25%),5 (31%),7 (44%),Active,"Campinas, Brazil",,Jiu-Jitsu,27,69.00,154.00,"Feb. 4, 2017",72.00,40.00,Featherweight Division,man
Mitch Ramirez,22 (96%),1 (4%),0 (0%),5 (63%),1 (13%),2 (25%),Active,United States,Syndicate MMA,MMA,31,71.00,171.00,"Mar. 16, 2024",71.00,42.50,Lightweight Division,man
Aleksandar Rakić,209 (57%),41 (11%),115 (32%),9 (69%),3 (23%),1 (8%),Active,"Vienna, Austria",American Top Team Zagreb,Freestyle,32,76.00,205.00,"Sep. 2, 2017",78.00,46.00,Light Heavyweight Division,man
Shavkat Rakhmonov,113 (55%),56 (27%),38 (18%),8 (44%),0 (0%),10 (56%),Active,Uzbekistan,Kill Cliff FC,Sambo,29,73.00,171.00,"Mar. 21, 2020",77.00,42.00,Welterweight Division,man
Loik Radzhabov,74 (76%),3 (3%),21 (21%),0 (0 %),0 (0 %),0 (0 %),Active,Tajikistan,Sanford MMA,Boxing,33,71.00,173.00,"Mar. 4, 2023",69.00,39.00,Lightweight Division,man
Charles Radtke,0 (0 %),0 (0 %),0 (0 %),4 (44%),3 (33%),2 (22%),Active,"Lake Forest, United States",,,33,69.00,186.00,"Sep. 10, 2023",72.00,40.00,Welterweight Division,man
Cristian Quiñonez,124 (91%),9 (7%),4 (3%),10 (56%),5 (28%),3 (17%),Active,"Tlaltenango, Mexico",,Jiu-Jitsu,27,68.00,135.00,"Sep. 3, 2022",70.00,40.00,Bantamweight Division,man
Landon Quinones,191 (94%),12 (6%),0 (0%),5 (71%),1 (14%),1 (14%),Active,"Sunrise, United States",,Striker,28,69.00,171.80,"Sep. 10, 2023",70.00,40.00,Lightweight Division,man
Josh Quinlan,97 (92%),5 (5%),3 (3%),4 (67%),0 (0%),2 (33%),Active,United States,,Brazilian Jiu-Jitsu,31,72.00,187.00,"Aug. 6, 2022",72.00,39.00,Welterweight Division,man
Billy Quarantillo,563 (64%),177 (20%),143 (16%),8 (47%),4 (24%),5 (29%),Active,"Buffalo, United States",,MMA,34,70.00,160.00,"Dec. 7, 2019",70.00,38.00,Featherweight Division,man
Joe Pyfer,168 (91%),2 (1%),14 (8%),8 (67%),1 (8%),3 (25%),Active,"Vineland, United States",,Boxing,27,74.00,200.00,"Sep. 17, 2022",75.00,41.00,Middleweight Division,man
Claudio Puelles,74 (53%),8 (6%),58 (41%),2 (15%),4 (31%),7 (54%),Active,Peru,Sanford MMA,Muay Thai,27,70.00,168.00,"Nov. 6, 2016",72.00,40.00,Lightweight Division,man
Lucie Pudilova,339 (68%),81 (16%),78 (16%),3 (21%),9 (64%),2 (14%),Active,"Pribram, Czechia",SBG Ireland,MMA,29,68.00,142.00,"Mar. 18, 2017",67.50,42.00,Women's Bantamweight Division,women
Jiří Procházka,205 (79%),11 (4%),44 (17%),25 (86%),1 (3%),3 (10%),Active,"Hostěradice, Czechia",JETSAAM GYM,Muay Thai,31,75.00,204.20,"Jul. 11, 2020",80.00,45.00,Light Heavyweight Division,man
Niko Price,553 (79%),76 (11%),73 (10%),10 (67%),2 (13%),3 (20%),Active,"Cape Coral, United States",Team Price,Freestyle,33,72.00,189.80,"Dec. 31, 2016",76.00,42.50,Welterweight Division,man
Carlos Prates,67 (100%),0 (0%),0 (0%),13 (72%),2 (11%),3 (17%),Active,"State of São Paulo, Brazil",,Striker,30,73.00,178.00,"Feb. 10, 2024",78.00,43.50,Welterweight Division,man
Rana Rudra Pratap Singh,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,26,,135.50,"Mar. 13, 2024",,,Bantamweight Division,man
Ricardo Prasel,9 (82%),2 (18%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"State of Paraná, Brazil",,Jiu-Jitsu,33,79.00,239.00,"Mar. 13, 2024",,,Heavyweight Division,man
Francisco Prado,133 (85%),3 (2%),20 (13%),6 (50%),0 (0%),6 (50%),Active,"San Lorenzo , Argentina",,,21,70.00,156.00,"Feb. 11, 2023",69.00,38.00,Lightweight Division,man
Marcin Prachnio,424 (84%),77 (15%),1 (0%),11 (69%),4 (25%),1 (6%),Active,"Warsaw, Poland",Tatsujin MMA,Karate,35,75.00,220.00,"Feb. 24, 2018",74.00,42.00,Light Heavyweight Division,man
Ihor Potieria,159 (72%),35 (16%),28 (13%),9 (47%),4 (21%),6 (32%),Active,"Kyiv, Ukraine",,MMA,27,75.00,205.00,"Jul. 30, 2022",75.00,44.00,Light Heavyweight Division,man
Parker Porter,374 (86%),47 (11%),15 (3%),6 (43%),5 (36%),3 (21%),Active,"Hartford, United States",,MMA,38,72.00,268.00,"Aug. 15, 2020",75.00,41.00,Heavyweight Division,man
Santiago Ponzinibbio,868 (95%),19 (2%),30 (3%),16 (53%),8 (27%),6 (20%),Active,Argentina,"American Top Team ATT Coconut Creek, FL",Striker,36,72.00,171.00,"Nov. 9, 2013",73.00,40.50,Welterweight Division,man
Julia Polastri,124 (83%),7 (5%),18 (12%),0 (0 %),0 (0 %),0 (0 %),Active,,,,25,62.00,125.00,"Mar. 2, 2024",63.50,35.00,Women's Flyweight Division,women
Dustin Poirier,1300 (75%),259 (15%),165 (10%),16 (53%),7 (23%),7 (23%),Active,"Lafayette, United States","American Top Team ATT Coconut Creek, FL",Jiu-Jitsu,35,69.00,156.00,"Jan. 2, 2011",72.00,40.50,Lightweight Division,man
Jamal Pogues,202 (80%),28 (11%),22 (9%),4 (36%),6 (55%),1 (9%),Active,"Los Angeles, United States",Syndicate MMA,Boxing,28,75.00,278.00,"Feb. 18, 2023",77.00,43.00,Heavyweight Division,man
Luana Pinheiro,167 (84%),19 (10%),12 (6%),2 (18%),4 (36%),5 (45%),Active,"João Pessoa, Brazil",,Judo,31,62.50,115.50,"Mar. 27, 2021",62.50,38.00,Women's Strawweight Division,women
Daniel Pineda,177 (59%),20 (7%),101 (34%),9 (32%),0 (0%),19 (68%),Active,"Dallas, United States",4oz Fight Club,Freestyle,37,67.00,145.50,"Jan. 21, 2012",69.00,38.00,Featherweight Division,man
Paddy Pimblett,172 (73%),17 (7%),47 (20%),6 (29%),6 (29%),9 (43%),Active,"Liverpool, United Kingdom",NEXT Generation MMA,Jiu-Jitsu,29,70.00,155.50,"Sep. 4, 2021",73.00,40.00,Lightweight Division,man
Fabiola Pidroni,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,,,"Mar. 12, 2024",,,Women's Strawweight Division,women
Jamie Pickett,259 (82%),57 (18%),0 (0%),9 (69%),4 (31%),0 (0%),Retired,"Jacksonville, United States",The HitPit Martial Arts,Freestyle,35,74.00,186.00,"Jul. 11, 2017",82.00,45.00,Middleweight Division,man
Vinc Pichel,245 (57%),99 (23%),83 (19%),8 (57%),6 (43%),0 (0%),Active,"Lancaster, United States",Factory X,Freestyle,40,70.00,171.90,"Dec. 16, 2012",72.00,40.50,Lightweight Division,man
Kyler Phillips,406 (76%),41 (8%),87 (16%),5 (42%),5 (42%),2 (17%),Active,"Torrance, United States",The MMA Lab,,28,68.00,151.00,"Aug. 1, 2017",72.00,38.00,Bantamweight Division,man
